City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,new norfolk,-42.7826,147.0587,7.06,68,63,2.24,AU,1684618611
181,azna,33.6095,48.9307,16.11,68,100,1.91,IR,1684618611
182,vredendal,-31.6683,18.5012,11.23,84,64,1.65,ZA,1684618611
183,susuman,62.7833,148.1667,1.09,85,100,4.39,RU,1684618611
184,redon,47.8333,-1.8333,14.06,76,67,4.53,FR,1684618611
185,omu-aran,8.1333,5.1,22.77,94,100,1.78,NG,1684618611
186,noumea,-22.2763,166.4572,22.22,99,100,2.47,NC,1684618358
187,island harbour,50.724,-1.2758,14.02,80,2,5.53,GB,1684618611
188,sandnessjoen,66.0217,12.6316,10.92,73,100,0.89,NO,1684618611
189,sovetskaya gavan',48.9723,140.2878,5.11,96,100,2.71,RU,1684618611
190,tocopilla,-22.092,-70.1979,19.28,72,100,3.54,CL,1684618611
191,kapuskasing,49.4169,-82.4331,24.0,25,75,4.12,CA,1684618442
192,port lavaca,28.615,-96.6261,30.55,71,40,4.63,US,1684618612
193,gyomaendrod,46.9333,20.8333,17.02,71,33,2.87,HU,1684618612
194,lerwick,60.1545,-1.1494,9.0,99,100,5.45,GB,1684618612
195,saint-philippe,-21.3585,55.7679,23.77,80,21,1.43,RE,1684618612
196,awjilah,29.1081,21.2869,27.17,23,1,7.37,LY,1684618612
197,las heras,-46.5419,-68.9359,7.5,37,100,7.55,AR,1684618612
198,baiti,13.745,-14.7482,35.51,18,97,3.92,SN,1684618612
199,santa ana,33.7456,-117.8678,31.64,68,40,6.69,US,1684618598
200,abilene,32.4487,-99.7331,26.12,34,0,3.6,US,1684618605
201,hasaki,35.7333,140.8333,18.45,88,98,2.89,JP,1684618612
202,vila franca do campo,37.7167,-25.4333,17.23,82,62,5.64,PT,1684618612
203,olonkinbyen,70.9221,-8.7187,2.25,82,45,9.47,SJ,1684618612
204,brak,27.5496,14.2714,24.76,18,0,5.75,LY,1684618612
205,happy valley-goose bay,53.3168,-60.3315,18.17,25,75,7.72,CA,1684618613
206,amga,60.8953,131.9608,4.22,77,88,5.06,RU,1684618613
207,haiku-pauwela,20.9219,-156.3051,29.01,51,40,3.6,US,1684618404
208,tamandare,-8.7597,-35.1047,24.99,90,93,3.82,BR,1684618613
209,beykonak,36.3257,30.303,19.52,69,77,1.2,TR,1684618613
210,selty,57.3132,52.1345,12.65,75,63,1.65,RU,1684618613
211,pocahontas,36.2615,-90.9712,24.95,48,0,3.6,US,1684618613
